,X,Y,tdx12_Pantanal,tdx30_Pantanal,srtm30_Pantanal,srtm30_wgs84_Pantanal,aster30_Pantanal,aster30_wgs84_Pantanal,aw3d30_Pantanal,aw3d30_wgs84_Pantanal
16,137.93030764,-56.14581055,-18.39148696,-18.39146888,-18.39146888,-18.39146888,-18.39146888,-18.39146888,-18.39149902,-18.39149902
17,121.91409798,-56.66069461,-18.98609523,-18.98617624,-18.98617624,-18.98617624,-18.98617624,-18.98617624,-18.98604123,-18.98604123
18,131.48664326,-56.18745508,-18.60769686,-18.6077148,-18.6077148,-18.6077148,-18.6077148,-18.6077148,-18.60768489,-18.60768489
19,127.88533236,-56.21877489,-18.7660681,-18.76611244,-18.76611244,-18.76611244,-18.76611244,-18.76611244,-18.76603854,-18.76603854
20,142.70622586,-56.18317038,-18.19659125,-18.19654069,-18.19654069,-18.19654069,-18.19654069,-18.19654069,-18.19662496,-18.19662496
21,139.61046625,-56.18473224,-18.1440498,-18.14399048,-18.14399048,-18.14399048,-18.14399048,-18.14399048,-18.14408934,-18.14408934
22,122.86397721,-56.37863458,-18.98020078,-18.98028081,-18.98028081,-18.98028081,-18.98028081,-18.98028081,-18.98014743,-18.98014743
23,119.08291122,-56.55446968,-18.71946494,-18.71950151,-18.71950151,-18.71950151,-18.71950151,-18.71950151,-18.71944055,-18.71944055
24,138.32584383,-56.07956421,-18.76492148,-18.76496563,-18.76496563,-18.76496563,-18.76496563,-18.76496563,-18.76489205,-18.76489205
25,131.45007154,-56.55209842,-18.94064575,-18.94071918,-18.94071918,-18.94071918,-18.94071918,-18.94071918,-18.94059679,-18.94059679
26,132.49663758,-56.25215916,-18.47338057,-18.47337613,-18.47337613,-18.47337613,-18.47337613,-18.47337613,-18.47338353,-18.47338353
27,120.12581191,-56.54644464,-18.76075464,-18.7607981,-18.7607981,-18.7607981,-18.7607981,-18.7607981,-18.76072567,-18.76072567
28,118.70489773,-56.8318844,-18.00771086,-18.00762882,-18.00762882,-18.00762882,-18.00762882,-18.00762882,-18.00776555,-18.00776555
29,118.98282281,-56.73354048,-18.3203224,-18.32029246,-18.32029246,-18.32029246,-18.32029246,-18.32029246,-18.32034236,-18.32034236
30,128.32579003,-56.24666655,-18.96654349,-18.96662124,-18.96662124,-18.96662124,-18.96662124,-18.96662124,-18.96649166,-18.96649166
31,125.29845985,-56.54584023,-18.31354145,-18.31351038,-18.31351038,-18.31351038,-18.31351038,-18.31351038,-18.31356216,-18.31356216
32,109.40312275,-56.8362279,-18.9167631,-18.91683255,-18.91683255,-18.91683255,-18.91683255,-18.91683255,-18.9167168,-18.9167168
33,138.82594812,-56.12066354,-18.38813523,-18.38811659,-18.38811659,-18.38811659,-18.38811659,-18.38811659,-18.38814766,-18.38814766
34,117.78015733,-56.97404907,-18.30974263,-18.30971092,-18.30971092,-18.30971092,-18.30971092,-18.30971092,-18.30976376,-18.30976376
35,107.93901675,-56.96371262,-18.99464488,-18.99472731,-18.99472731,-18.99472731,-18.99472731,-18.99472731,-18.99458993,-18.99458993
36,133.42566468,-56.1576194,-18.63981028,-18.63983358,-18.63983358,-18.63983358,-18.63983358,-18.63983358,-18.63979474,-18.63979474
37,123.40361955,-56.54290418,-18.37382011,-18.37379908,-18.37379908,-18.37379908,-18.37379908,-18.37379908,-18.37383413,-18.37383413
38,139.70097902,-56.10311057,-18.35782348,-18.35779979,-18.35779979,-18.35779979,-18.35779979,-18.35779979,-18.35783928,-18.35783928
39,132.03583614,-56.35483711,-18.03388048,-18.0338028,-18.0338028,-18.0338028,-18.0338028,-18.0338028,-18.03393227,-18.03393227
40,126.3180275,-56.40722432,-18.59750623,-18.59752248,-18.59752248,-18.59752248,-18.59752248,-18.59752248,-18.59749539,-18.59749539
41,126.2194083,-56.39928826,-18.5598271,-18.55983707,-18.55983707,-18.55983707,-18.55983707,-18.55983707,-18.55982045,-18.55982045
42,126.38735589,-56.52549322,-18.39875253,-18.39873565,-18.39873565,-18.39873565,-18.39873565,-18.39873565,-18.39876378,-18.39876378
43,125.53944794,-56.50969946,-18.00010799,-18.00002468,-18.00002468,-18.00002468,-18.00002468,-18.00002468,-18.00016353,-18.00016353
44,140.56885176,-56.21328205,-18.06782162,-18.0677496,-18.0677496,-18.0677496,-18.0677496,-18.0677496,-18.06786964,-18.06786964
45,120.8329432,-56.61364109,-18.46445683,-18.46445091,-18.46445091,-18.46445091,-18.46445091,-18.46445091,-18.46446078,-18.46446078
46,139.45104091,-56.19078754,-18.05183863,-18.05176394,-18.05176394,-18.05176394,-18.05176394,-18.05176394,-18.05188842,-18.05188842
47,120.58464198,-56.67944511,-18.21403192,-18.21398426,-18.21398426,-18.21398426,-18.21398426,-18.21398426,-18.21406369,-18.21406369
48,124.97319535,-56.54367695,-18.15264009,-18.1525822,-18.1525822,-18.1525822,-18.1525822,-18.1525822,-18.15267868,-18.15267868
49,120.09812458,-56.94171618,-18.53856527,-18.5385717,-18.5385717,-18.5385717,-18.5385717,-18.5385717,-18.53856099,-18.53856099
50,141.34052507,-56.04124513,-18.29538004,-18.29534594,-18.29534594,-18.29534594,-18.29534594,-18.29534594,-18.29540278,-18.29540278
51,130.03276147,-56.42153601,-18.41481411,-18.41479991,-18.41479991,-18.41479991,-18.41479991,-18.41479991,-18.41482357,-18.41482357
52,137.8301176,-56.21633001,-18.19481578,-18.19476492,-18.19476492,-18.19476492,-18.19476492,-18.19476492,-18.19484969,-18.19484969
53,110.55640397,-56.90691166,-18.86940915,-18.86947071,-18.86947071,-18.86947071,-18.86947071,-18.86947071,-18.86936811,-18.86936811
54,137.08442892,-56.24896337,-18.26110051,-18.2610607,-18.2610607,-18.2610607,-18.2610607,-18.2610607,-18.26112705,-18.26112705
55,137.01284743,-56.29300442,-18.13900321,-18.13894305,-18.13894305,-18.13894305,-18.13894305,-18.13894305,-18.13904332,-18.13904332
56,136.25207256,-56.28426088,-18.27806384,-18.27802685,-18.27802685,-18.27802685,-18.27802685,-18.27802685,-18.27808849,-18.27808849
57,122.43729642,-56.63132935,-18.22673315,-18.22668761,-18.22668761,-18.22668761,-18.22668761,-18.22668761,-18.22676351,-18.22676351
58,129.73042131,-56.19906138,-18.72092291,-18.72095973,-18.72095973,-18.72095973,-18.72095973,-18.72095973,-18.72089837,-18.72089837
59,132.75718611,-56.53915652,-18.56951681,-18.56952839,-18.56952839,-18.56952839,-18.56952839,-18.56952839,-18.56950908,-18.56950908
60,123.02206226,-56.4304307,-18.95603234,-18.95610833,-18.95610833,-18.95610833,-18.95610833,-18.95610833,-18.95598167,-18.95598167
61,127.10188524,-56.42125075,-18.45207609,-18.45206811,-18.45206811,-18.45206811,-18.45206811,-18.45206811,-18.45208142,-18.45208142
62,112.5542277,-56.59485042,-18.90953919,-18.90960744,-18.90960744,-18.90960744,-18.90960744,-18.90960744,-18.90949369,-18.90949369
63,117.96790043,-56.50590424,-18.7556092,-18.7556518,-18.7556518,-18.7556518,-18.7556518,-18.7556518,-18.7555808,-18.7555808
64,118.24804739,-56.4879031,-18.96215506,-18.96223208,-18.96223208,-18.96223208,-18.96223208,-18.96223208,-18.96210371,-18.96210371
65,119.69394396,-56.81788429,-18.54323191,-18.54323911,-18.54323911,-18.54323911,-18.54323911,-18.54323911,-18.54322711,-18.54322711
66,118.11745504,-56.64332651,-18.56069382,-18.56070393,-18.56070393,-18.56070393,-18.56070393,-18.56070393,-18.56068708,-18.56068708
67,141.29234151,-56.14300741,-18.06389598,-18.06382331,-18.06382331,-18.06382331,-18.06382331,-18.06382331,-18.06394443,-18.06394443
68,138.09605633,-56.0073986,-18.80453035,-18.8045811,-18.8045811,-18.8045811,-18.8045811,-18.8045811,-18.80449652,-18.80449652
69,138.31778243,-56.13958011,-18.08346568,-18.08339627,-18.08339627,-18.08339627,-18.08339627,-18.08339627,-18.08351196,-18.08351196
70,126.41682322,-56.45386255,-18.5560209,-18.55603024,-18.55603024,-18.55603024,-18.55603024,-18.55603024,-18.55601468,-18.55601468
71,126.86403455,-56.23467633,-18.71699177,-18.71702793,-18.71702793,-18.71702793,-18.71702793,-18.71702793,-18.71696767,-18.71696767
72,117.44235768,-56.83028603,-18.38548183,-18.38546274,-18.38546274,-18.38546274,-18.38546274,-18.38546274,-18.38549455,-18.38549455
73,136.41523675,-56.32158903,-18.28938787,-18.28935277,-18.28935277,-18.28935277,-18.28935277,-18.28935277,-18.28941127,-18.28941127
74,114.54331471,-56.72650808,-18.63353121,-18.63355346,-18.63355346,-18.63355346,-18.63355346,-18.63355346,-18.63351637,-18.63351637
75,119.95579782,-56.88638444,-18.56107265,-18.56108282,-18.56108282,-18.56108282,-18.56108282,-18.56108282,-18.56106586,-18.56106586
76,121.99808613,-56.65315006,-18.47743791,-18.47743415,-18.47743415,-18.47743415,-18.47743415,-18.47743415,-18.47744042,-18.47744042
77,141.58876539,-56.15171324,-18.19843083,-18.19838058,-18.19838058,-18.19838058,-18.19838058,-18.19838058,-18.19846434,-18.19846434
78,132.46587346,-56.1799505,-18.61267303,-18.6126918,-18.6126918,-18.6126918,-18.6126918,-18.6126918,-18.61266051,-18.61266051
79,108.65055167,-56.9774082,-18.79010913,-18.79015747,-18.79015747,-18.79015747,-18.79015747,-18.79015747,-18.7900769,-18.7900769
80,106.89710994,-56.96236607,-18.97076041,-18.97083886,-18.97083886,-18.97083886,-18.97083886,-18.97083886,-18.97070811,-18.97070811
81,144.78850525,-56.14958346,-18.30755829,-18.30752622,-18.30752622,-18.30752622,-18.30752622,-18.30752622,-18.30757967,-18.30757967
82,126.77831383,-56.36846015,-18.9515374,-18.95161265,-18.95161265,-18.95161265,-18.95161265,-18.95161265,-18.95148724,-18.95148724
83,127.35772008,-56.34446235,-18.75505546,-18.75509797,-18.75509797,-18.75509797,-18.75509797,-18.75509797,-18.75502713,-18.75502713
84,119.34472868,-56.70504737,-18.56509351,-18.56510435,-18.56510435,-18.56510435,-18.56510435,-18.56510435,-18.56508628,-18.56508628
85,130.69662437,-56.23540296,-18.61952452,-18.61954444,-18.61954444,-18.61954444,-18.61954444,-18.61954444,-18.61951124,-18.61951124
86,114.56956239,-56.9419151,-18.25547238,-18.25543163,-18.25543163,-18.25543163,-18.25543163,-18.25543163,-18.25549955,-18.25549955
87,138.22581463,-56.15162212,-18.01378391,-18.01370288,-18.01370288,-18.01370288,-18.01370288,-18.01370288,-18.01383793,-18.01383793
88,119.89778297,-56.98712656,-18.3495399,-18.34951483,-18.34951483,-18.34951483,-18.34951483,-18.34951483,-18.34955662,-18.34955662
89,122.15247767,-56.66929929,-18.01723487,-18.01715442,-18.01715442,-18.01715442,-18.01715442,-18.01715442,-18.01728851,-18.01728851
90,123.27355887,-56.62753871,-18.15084862,-18.15079043,-18.15079043,-18.15079043,-18.15079043,-18.15079043,-18.15088741,-18.15088741
91,129.59955421,-56.40618286,-18.22005923,-18.22001258,-18.22001258,-18.22001258,-18.22001258,-18.22001258,-18.22009033,-18.22009033
92,117.37226499,-56.65038699,-18.68756564,-18.68759689,-18.68759689,-18.68759689,-18.68759689,-18.68759689,-18.6875448,-18.6875448
93,133.55538053,-56.25027147,-18.50959525,-18.50959685,-18.50959685,-18.50959685,-18.50959685,-18.50959685,-18.50959419,-18.50959419
94,129.87768609,-56.35491551,-18.46630968,-18.46630407,-18.46630407,-18.46630407,-18.46630407,-18.46630407,-18.46631343,-18.46631343
95,111.07754859,-56.75174283,-18.89221999,-18.89228535,-18.89228535,-18.89228535,-18.89228535,-18.89228535,-18.89217641,-18.89217641
96,134.33619913,-56.08754248,-18.75168617,-18.75172811,-18.75172811,-18.75172811,-18.75172811,-18.75172811,-18.7516582,-18.7516582
97,127.74389043,-56.47633999,-18.16175524,-18.16169887,-18.16169887,-18.16169887,-18.16169887,-18.16169887,-18.16179282,-18.16179282
98,116.94324361,-56.8401881,-18.63988187,-18.63990518,-18.63990518,-18.63990518,-18.63990518,-18.63990518,-18.63986632,-18.63986632
99,129.90340951,-56.28301832,-18.63190212,-18.63192411,-18.63192411,-18.63192411,-18.63192411,-18.63192411,-18.63188747,-18.63188747
100,133.71169849,-56.27691909,-18.0186646,-18.01858439,-18.01858439,-18.01858439,-18.01858439,-18.01858439,-18.01871808,-18.01871808
101,111.34363186,-56.8640015,-18.82548728,-18.82554152,-18.82554152,-18.82554152,-18.82554152,-18.82554152,-18.82545111,-18.82545111
102,131.3412801,-56.40846064,-18.08612836,-18.08605939,-18.08605939,-18.08605939,-18.08605939,-18.08605939,-18.08617434,-18.08617434
103,142.74463263,-56.12800326,-18.32919406,-18.32916559,-18.32916559,-18.32916559,-18.32916559,-18.32916559,-18.32921303,-18.32921303
104,146.1446797,-56.03424202,-18.20559573,-18.20554667,-18.20554667,-18.20554667,-18.20554667,-18.20554667,-18.20562844,-18.20562844
105,128.88121976,-56.28143522,-18.62232514,-18.62234553,-18.62234553,-18.62234553,-18.62234553,-18.62234553,-18.62231155,-18.62231155
106,109.44309184,-56.91710265,-18.78149503,-18.78154194,-18.78154194,-18.78154194,-18.78154194,-18.78154194,-18.78146376,-18.78146376
107,128.03406248,-56.30022991,-18.66798659,-18.66801459,-18.66801459,-18.66801459,-18.66801459,-18.66801459,-18.66796793,-18.66796793
108,124.56340184,-56.52616883,-18.49051088,-18.4905093,-18.4905093,-18.4905093,-18.4905093,-18.4905093,-18.49051194,-18.49051194
109,120.8319211,-56.38895625,-18.93601225,-18.93608491,-18.93608491,-18.93608491,-18.93608491,-18.93608491,-18.93596381,-18.93596381
110,115.03847519,-56.88299165,-18.61308312,-18.61310197,-18.61310197,-18.61310197,-18.61310197,-18.61310197,-18.61307056,-18.61307056
111,108.62439702,-56.87711419,-18.97062252,-18.97070095,-18.97070095,-18.97070095,-18.97070095,-18.97070095,-18.97057023,-18.97057023
112,121.02262181,-56.41560784,-18.99097404,-18.99105586,-18.99105586,-18.99105586,-18.99105586,-18.99105586,-18.99091949,-18.99091949
113,119.56374177,-56.82168814,-18.46570535,-18.46569964,-18.46569964,-18.46569964,-18.46569964,-18.46569964,-18.46570916,-18.46570916
114,122.03353403,-56.58426306,-18.10917154,-18.10910641,-18.10910641,-18.10910641,-18.10910641,-18.10910641,-18.10921496,-18.10921496
115,111.2252493,-56.8715908,-18.74125382,-18.74129402,-18.74129402,-18.74129402,-18.74129402,-18.74129402,-18.74122702,-18.74122702
116,121.81323858,-56.71896242,-18.25921995,-18.25917983,-18.25917983,-18.25917983,-18.25917983,-18.25917983,-18.2592467,-18.2592467
117,116.0723482,-56.85993492,-18.14272071,-18.14266117,-18.14266117,-18.14266117,-18.14266117,-18.14266117,-18.1427604,-18.1427604
118,127.97808013,-56.25673422,-18.7325279,-18.73256665,-18.73256665,-18.73256665,-18.73256665,-18.73256665,-18.73250207,-18.73250207
119,136.21907734,-56.36725039,-18.10189615,-18.10182981,-18.10182981,-18.10182981,-18.10182981,-18.10182981,-18.10194038,-18.10194038
120,107.27007946,-56.76606898,-18.98040531,-18.98048536,-18.98048536,-18.98048536,-18.98048536,-18.98048536,-18.98035193,-18.98035193
121,134.65666088,-56.07574829,-18.98007214,-18.98015214,-18.98015214,-18.98015214,-18.98015214,-18.98015214,-18.9800188,-18.9800188
122,145.0207343,-56.0260924,-18.15747818,-18.1574211,-18.1574211,-18.1574211,-18.1574211,-18.1574211,-18.15751623,-18.15751623
123,135.2720415,-56.13764638,-18.59775096,-18.59776725,-18.59776725,-18.59776725,-18.59776725,-18.59776725,-18.5977401,-18.5977401
124,128.82627176,-56.13994388,-18.92152641,-18.92159666,-18.92159666,-18.92159666,-18.92159666,-18.92159666,-18.92147958,-18.92147958
125,114.33694862,-56.93005968,-18.69492197,-18.69495445,-18.69495445,-18.69495445,-18.69495445,-18.69495445,-18.69490031,-18.69490031
126,116.32807615,-56.88281919,-18.23302491,-18.23298042,-18.23298042,-18.23298042,-18.23298042,-18.23298042,-18.23305457,-18.23305457
127,135.28959768,-56.2958822,-18.27459864,-18.27456108,-18.27456108,-18.27456108,-18.27456108,-18.27456108,-18.27462369,-18.27462369
128,138.46063592,-56.32009163,-18.87182419,-18.87188616,-18.87188616,-18.87188616,-18.87188616,-18.87188616,-18.87178288,-18.87178288
129,116.66047718,-56.93070657,-18.32232965,-18.32230004,-18.32230004,-18.32230004,-18.32230004,-18.32230004,-18.32234939,-18.32234939
130,116.41734027,-56.52567198,-18.98019903,-18.98027905,-18.98027905,-18.98027905,-18.98027905,-18.98027905,-18.98014568,-18.98014568
131,116.4995252,-56.67043509,-18.71973114,-18.71976776,-18.71976776,-18.71976776,-18.71976776,-18.71976776,-18.71970673,-18.71970673
132,140.61313492,-56.00400112,-18.5279783,-18.52798297,-18.52798297,-18.52798297,-18.52798297,-18.52798297,-18.5279752,-18.5279752
133,121.25895989,-56.70182908,-18.52521404,-18.52521825,-18.52521825,-18.52521825,-18.52521825,-18.52521825,-18.52521124,-18.52521124
134,111.19785218,-56.96374071,-18.02824336,-18.02816474,-18.02816474,-18.02816474,-18.02816474,-18.02816474,-18.02829577,-18.02829577
135,113.65846569,-56.8987083,-18.37753515,-18.37751474,-18.37751474,-18.37751474,-18.37751474,-18.37751474,-18.37754876,-18.37754876
136,112.42283579,-56.88988545,-18.8220383,-18.82209197,-18.82209197,-18.82209197,-18.82209197,-18.82209197,-18.82200253,-18.82200253
137,118.02522503,-56.91042312,-18.55509202,-18.5551012,-18.5551012,-18.5551012,-18.5551012,-18.5551012,-18.5550859,-18.5550859
138,125.32252215,-56.30340252,-18.82783126,-18.82788589,-18.82788589,-18.82788589,-18.82788589,-18.82788589,-18.82779484,-18.82779484
139,128.00515463,-56.41419499,-18.41462927,-18.41461504,-18.41461504,-18.41461504,-18.41461504,-18.41461504,-18.41463875,-18.41463875
140,117.08296355,-56.58240295,-18.66235229,-18.66237934,-18.66237934,-18.66237934,-18.66237934,-18.66237934,-18.66233425,-18.66233425
141,143.24030013,-56.24416165,-18.35282357,-18.35279905,-18.35279905,-18.35279905,-18.35279905,-18.35279905,-18.35283992,-18.35283992
142,123.69244496,-56.5660414,-18.48192184,-18.48191882,-18.48191882,-18.48191882,-18.48191882,-18.48191882,-18.48192384,-18.48192384
143,105.96529105,-56.9914217,-18.95639415,-18.9564702,-18.9564702,-18.9564702,-18.9564702,-18.9564702,-18.95634344,-18.95634344
144,127.23958688,-56.35409934,-18.66686797,-18.66689577,-18.66689577,-18.66689577,-18.66689577,-18.66689577,-18.66684943,-18.66684943
145,121.53790825,-56.63066269,-18.27888501,-18.27884816,-18.27884816,-18.27884816,-18.27884816,-18.27884816,-18.27890958,-18.27890958
146,118.12047556,-56.83069139,-18.75920663,-18.75924983,-18.75924983,-18.75924983,-18.75924983,-18.75924983,-18.75917783,-18.75917783
147,121.89374542,-56.64193283,-18.44359991,-18.44359051,-18.44359051,-18.44359051,-18.44359051,-18.44359051,-18.44360618,-18.44360618
148,114.75247391,-56.74008125,-18.72483882,-18.72487629,-18.72487629,-18.72487629,-18.72487629,-18.72487629,-18.72481385,-18.72481385
149,125.47850325,-56.27379301,-18.99487564,-18.99495811,-18.99495811,-18.99495811,-18.99495811,-18.99495811,-18.99482066,-18.99482066
150,129.11101316,-56.60268415,-18.11489126,-18.11482709,-18.11482709,-18.11482709,-18.11482709,-18.11482709,-18.11493405,-18.11493405
151,122.41875004,-56.93326778,-18.1922941,-18.19224282,-18.19224282,-18.19224282,-18.19224282,-18.19224282,-18.19232828,-18.19232828
152,121.7408038,-56.45278889,-18.73871015,-18.73874993,-18.73874993,-18.73874993,-18.73874993,-18.73874993,-18.73868363,-18.73868363
153,131.2198846,-56.29582656,-18.78506348,-18.78511098,-18.78511098,-18.78511098,-18.78511098,-18.78511098,-18.78503181,-18.78503181
154,136.62376355,-56.43919225,-18.17020904,-18.17015408,-18.17015408,-18.17015408,-18.17015408,-18.17015408,-18.17024568,-18.17024568
155,140.32576376,-56.16183378,-18.04423355,-18.0441576,-18.0441576,-18.0441576,-18.0441576,-18.0441576,-18.04428419,-18.04428419
156,134.05155691,-56.32787555,-18.09210097,-18.09203299,-18.09203299,-18.09203299,-18.09203299,-18.09203299,-18.09214628,-18.09214628
157,136.10824405,-56.30067836,-18.70898097,-18.70901579,-18.70901579,-18.70901579,-18.70901579,-18.70901579,-18.70895775,-18.70895775
158,134.12565989,-56.36389051,-18.06160647,-18.06153341,-18.06153341,-18.06153341,-18.06153341,-18.06153341,-18.06165517,-18.06165517
159,116.95766448,-56.8523297,-18.09781486,-18.09774784,-18.09774784,-18.09774784,-18.09774784,-18.09774784,-18.09785955,-18.09785955
160,142.18305582,-56.01069508,-18.27572992,-18.27569254,-18.27569254,-18.27569254,-18.27569254,-18.27569254,-18.27575483,-18.27575483
161,114.79846895,-56.79523364,-18.64416864,-18.64419267,-18.64419267,-18.64419267,-18.64419267,-18.64419267,-18.64415262,-18.64415262
162,141.49682933,-56.05881819,-18.34222669,-18.34220039,-18.34220039,-18.34220039,-18.34220039,-18.34220039,-18.34224422,-18.34224422
163,138.25604074,-56.30534185,-18.23869532,-18.23865178,-18.23865178,-18.23865178,-18.23865178,-18.23865178,-18.23872435,-18.23872435
164,129.5465308,-56.78468985,-18.0106323,-18.01055075,-18.01055075,-18.01055075,-18.01055075,-18.01055075,-18.01068667,-18.01068667
165,129.63294907,-56.45209164,-18.15102137,-18.15096322,-18.15096322,-18.15096322,-18.15096322,-18.15096322,-18.15106015,-18.15106015
166,118.24148908,-56.79929625,-18.33582544,-18.33579808,-18.33579808,-18.33579808,-18.33579808,-18.33579808,-18.33584368,-18.33584368
167,141.18441241,-56.06720297,-18.15921573,-18.15915894,-18.15915894,-18.15915894,-18.15915894,-18.15915894,-18.15925359,-18.15925359
168,128.0519285,-56.35638195,-18.55765788,-18.55766749,-18.55766749,-18.55766749,-18.55766749,-18.55766749,-18.55765147,-18.55765147
169,110.27592837,-56.79381784,-18.92606944,-18.92614044,-18.92614044,-18.92614044,-18.92614044,-18.92614044,-18.9260221,-18.9260221
170,131.3984905,-56.39919548,-18.13177428,-18.13171291,-18.13171291,-18.13171291,-18.13171291,-18.13171291,-18.13181519,-18.13181519
171,132.77664201,-56.37034215,-18.38118971,-18.38116991,-18.38116991,-18.38116991,-18.38116991,-18.38116991,-18.38120291,-18.38120291
172,106.73211629,-56.93439454,-18.92304012,-18.92311062,-18.92311062,-18.92311062,-18.92311062,-18.92311062,-18.92299312,-18.92299312
173,139.52198098,-56.19890157,-18.07151123,-18.07143982,-18.07143982,-18.07143982,-18.07143982,-18.07143982,-18.07155883,-18.07155883
174,133.06889439,-56.34509445,-18.06856119,-18.06848929,-18.06848929,-18.06848929,-18.06848929,-18.06848929,-18.06860912,-18.06860912
175,115.41881474,-56.57819764,-18.86461934,-18.8646801,-18.8646801,-18.8646801,-18.8646801,-18.8646801,-18.86457883,-18.86457883
176,123.15324289,-56.56903868,-18.19688126,-18.19683075,-18.19683075,-18.19683075,-18.19683075,-18.19683075,-18.19691494,-18.19691494
177,112.54231843,-56.64277271,-18.80113336,-18.80118355,-18.80118355,-18.80118355,-18.80118355,-18.80118355,-18.80109991,-18.80109991
178,109.31150095,-56.83941971,-18.85509023,-18.85514941,-18.85514941,-18.85514941,-18.85514941,-18.85514941,-18.85505078,-18.85505078
179,132.1024551,-56.17822818,-18.99823385,-18.99831688,-18.99831688,-18.99831688,-18.99831688,-18.99831688,-18.9981785,-18.9981785
180,134.63711433,-56.31093897,-18.42695861,-18.42694644,-18.42694644,-18.42694644,-18.42694644,-18.42694644,-18.42696673,-18.42696673
181,138.19796867,-56.31004374,-18.19974633,-18.19969629,-18.19969629,-18.19969629,-18.19969629,-18.19969629,-18.19977969,-18.19977969
182,118.81288101,-56.64940737,-18.38676796,-18.38674909,-18.38674909,-18.38674909,-18.38674909,-18.38674909,-18.38678054,-18.38678054
183,121.10001268,-56.78343313,-18.2908833,-18.29084845,-18.29084845,-18.29084845,-18.29084845,-18.29084845,-18.29090653,-18.29090653
184,132.54860016,-56.26775927,-18.46904812,-18.46904296,-18.46904296,-18.46904296,-18.46904296,-18.46904296,-18.46905156,-18.46905156
185,114.3568715,-56.96008839,-18.11463281,-18.11456859,-18.11456859,-18.11456859,-18.11456859,-18.11456859,-18.11467562,-18.11467562
186,121.76732996,-56.70992182,-18.25234557,-18.25230429,-18.25230429,-18.25230429,-18.25230429,-18.25230429,-18.25237308,-18.25237308
187,137.70739756,-56.2327385,-18.10027712,-18.10021051,-18.10021051,-18.10021051,-18.10021051,-18.10021051,-18.10032153,-18.10032153
188,129.62724324,-56.41252299,-18.22192106,-18.22187472,-18.22187472,-18.22187472,-18.22187472,-18.22187472,-18.22195195,-18.22195195
189,116.35000714,-56.55749731,-18.86867761,-18.86873905,-18.86873905,-18.86873905,-18.86873905,-18.86873905,-18.86863665,-18.86863665
190,135.8819806,-56.07744816,-18.51341084,-18.51341308,-18.51341308,-18.51341308,-18.51341308,-18.51341308,-18.51340935,-18.51340935
191,142.77088086,-56.20116724,-18.19413201,-18.19408103,-18.19408103,-18.19408103,-18.19408103,-18.19408103,-18.19416599,-18.19416599
192,113.4674383,-56.95987085,-18.17153699,-18.17148225,-18.17148225,-18.17148225,-18.17148225,-18.17148225,-18.17157348,-18.17157348
193,126.179998,-56.34908994,-18.64394553,-18.64396952,-18.64396952,-18.64396952,-18.64396952,-18.64396952,-18.64392953,-18.64392953
